"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\src\views\park\carport\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 142, 0, 0, 1, 8, 151
"e:\java-projects\smart-community\community-admin\src\views\park\park\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 17, 158
"e:\java-projects\smart-community\community-admin\src\views\park\park\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 105, 0, 0, 1, 10, 116
"e:\java-projects\smart-community\community-admin\src\views\park\record\detail.vue", "Vue", 0, 0, 0, 0, 0, 0, 112, 0, 0, 1, 11, 124
"e:\java-projects\smart-community\community-admin\src\views\park\record\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 5, 89
"e:\java-projects\smart-community\community-admin\src\views\payment\count\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 89, 0, 0, 19, 15, 123
"e:\java-projects\smart-community\community-admin\src\views\payment\create\add-or-updates.vue", "Vue", 0, 0, 0, 0, 0, 0, 183, 0, 0, 4, 17, 204
"e:\java-projects\smart-community\community-admin\src\views\payment\create\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 151, 0, 0, 5, 13, 169
"e:\java-projects\smart-community\community-admin\src\views\payment\record\add-or-updates.vue", "Vue", 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 17, 191
"e:\java-projects\smart-community\community-admin\src\views\payment\record\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 143, 0, 0, 4, 13, 160
"e:\java-projects\smart-community\community-admin\src\views\profile\avatar.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 6, 71
"e:\java-projects\smart-community\community-admin\src\views\profile\password.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"e:\java-projects\smart-community\community-admin\src\views\property\complaint\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 82, 0, 0, 2, 12, 96
"e:\java-projects\smart-community\community-admin\src\views\property\complaint\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 93, 0, 0, 17, 5, 115
"e:\java-projects\smart-community\community-admin\src\views\property\complaint\info.vue", "Vue", 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 7, 74
"e:\java-projects\smart-community\community-admin\src\views\property\info.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"e:\java-projects\smart-community\community-admin\src\views\property\notice\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 17, 185
"e:\java-projects\smart-community\community-admin\src\views\property\notice\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 115, 0, 0, 3, 11, 129
"e:\java-projects\smart-community\community-admin\src\views\property\notice\info.vue", "Vue", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 6, 66
"e:\java-projects\smart-community\community-admin\src\views\property\phone\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 79, 0, 0, 9, 15, 103
"e:\java-projects\smart-community\community-admin\src\views\property\phone\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 3, 6, 81
"e:\java-projects\smart-community\community-admin\src\views\property\property.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 34, 18, 117
"e:\java-projects\smart-community\community-admin\src\views\property\repair\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 12, 102
"e:\java-projects\smart-community\community-admin\src\views\property\repair\handle.vue", "Vue", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 13, 135
"e:\java-projects\smart-community\community-admin\src\views\property\repair\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 112, 0, 0, 4, 8, 124
"e:\java-projects\smart-community\community-admin\src\views\property\repair\info.vue", "Vue", 0, 0, 0, 0, 0, 0, 77, 0, 0, 1, 9, 87
"e:\java-projects\smart-community\community-admin\src\views\safe\inspection\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 17, 182
"e:\java-projects\smart-community\community-admin\src\views\safe\inspection\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 89, 0, 0, 4, 7, 100
"e:\java-projects\smart-community\community-admin\src\views\safe\path\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 169, 0, 0, 14, 30, 213
"e:\java-projects\smart-community\community-admin\src\views\safe\path\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 82, 0, 0, 9, 10, 101
"e:\java-projects\smart-community\community-admin\src\views\safe\plan\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 13, 191
"e:\java-projects\smart-community\community-admin\src\views\safe\plan\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 1, 6, 101
"e:\java-projects\smart-community\community-admin\src\views\safe\point\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 149, 0, 0, 3, 22, 174
"e:\java-projects\smart-community\community-admin\src\views\safe\point\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 95, 0, 0, 7, 10, 112
"e:\java-projects\smart-community\community-admin\src\views\safe\point\record.vue", "Vue", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 8, 84
"e:\java-projects\smart-community\community-admin\src\views\safe\record\pointRecord.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"e:\java-projects\smart-community\community-admin\src\views\smart\device\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 14, 128
"e:\java-projects\smart-community\community-admin\src\views\smart\device\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 1, 9, 104
"e:\java-projects\smart-community\community-admin\src\views\smart\device\type-add-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 13, 99
"e:\java-projects\smart-community\community-admin\src\views\smart\device\type.vue", "Vue", 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 6, 82
"e:\java-projects\smart-community\community-admin\src\views\smart\door\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 21, 174
"e:\java-projects\smart-community\community-admin\src\views\smart\door\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 9, 110
"e:\java-projects\smart-community\community-admin\src\views\smart\door\pass-record.vue", "Vue", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 8, 103
"e:\java-projects\smart-community\community-admin\src\views\smart\door\review.vue", "Vue", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 7, 111
"e:\java-projects\smart-community\community-admin\src\views\smart\door\setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 9, 124
